Time,AccelerometerX,AccelerometerY,AccelerometerZ
62.00656,-0.039,-9.637,-1.819
62.016264,-0.157,-9.63,-1.857
62.025968,-0.196,-9.599,-1.812
62.035688,-0.275,-9.592,-1.851
62.045408,-0.314,-9.599,-1.812
62.055128,-0.392,-9.651,-1.742
62.064848,-0.392,-9.605,-1.773
62.074568,-0.392,-9.658,-1.703
62.084288,-0.392,-9.594,-1.612
62.094008,-0.392,-9.555,-1.605
62.103728,-0.314,-9.639,-1.58
62.113448,-0.235,-9.646,-1.542
62.123168,-0.118,-9.685,-1.548
62.132888,0,-9.653,-1.503
62.142608,0.157,-9.653,-1.503
62.152328,0.314,-9.73,-1.517
62.162044,0.51,-9.846,-1.537
62.17176,0.667,-10.001,-1.564
62.181476,0.863,-10.148,-1.63
62.191192,1.02,-10.264,-1.651
62.200908,1.216,-10.31,-1.619
62.210624,1.412,-10.208,-1.521
62.22034,1.608,-10.144,-1.43
62.230056,1.726,-10.273,-1.373
62.239772,1.844,-10.86,-1.437
62.249488,1.804,-11.555,-1.559
62.259204,1.726,-11.832,-1.569
62.26892,1.804,-11.782,-1.4
62.278636,1.804,-11.648,-1.257
62.288352,1.648,-11.437,-1.1
62.298048,1.491,-11.085,-0.839
62.307744,1.334,-10.841,-0.637
62.31744,1.138,-10.714,-0.455
62.327136,0.785,-10.755,-0.223
62.336832,0.549,-10.666,-0.049
62.346528,0.353,-10.564,0.049
62.356224,0.196,-10.487,0.063
62.36592,0.235,-10.3,0.136
62.375616,0.275,-10.044,0.26
62.385312,0.353,-9.741,0.354
62.395008,0.196,-9.555,0.426
62.404704,0.078,-9.453,0.524
62.4144,0.039,-9.389,0.615
62.424096,-0.078,-9.441,0.685
62.433782,-0.078,-9.519,0.672
62.443468,-0.039,-9.621,0.574
62.453154,0.078,-9.744,0.592
62.46284,0.157,-9.776,0.547
62.472526,0.314,-9.891,0.526
62.482212,0.431,-10.078,0.454
62.491898,0.392,-10.232,0.426
62.501584,0.314,-10.341,0.367
62.51127,0.275,-10.412,0.315
62.520956,0.275,-10.482,0.263
62.530642,0.314,-10.475,0.224
62.540328,0.392,-10.469,0.186
62.550014,0.471,-10.462,0.147
62.5597,0.51,-10.487,0.063
62.569397,0.549,-10.512,-0.021
62.579094,0.471,-10.589,-0.035
62.588791,0.392,-10.666,-0.049
62.598488,0.275,-10.66,-0.087
62.608185,0.157,-10.614,-0.119
62.617882,0.118,-10.537,-0.105
62.627579,0,-10.414,-0.124
62.637276,-0.039,-10.253,-0.135
62.646973,-0.078,-10.207,-0.167
62.65667,-0.118,-10.078,-0.224
62.666367,-0.118,-9.942,-0.319
62.676064,-0.157,-9.889,-0.389
62.685761,-0.157,-9.882,-0.428
62.695451,-0.196,-9.771,-0.608
62.705141,-0.118,-9.803,-0.653
62.714831,-0.078,-9.789,-0.73
62.724521,-0.039,-9.878,-0.905
62.734211,-0.039,-9.864,-0.983
62.743901,-0.039,-9.844,-1.098
62.753591,-0.039,-9.837,-1.137
62.763281,0,-9.862,-1.221
62.772971,0.039,-9.842,-1.337
62.782661,0.118,-9.873,-1.382
62.792351,0.275,-9.821,-1.453
62.802041,0.353,-9.808,-1.53
62.811731,0.51,-9.801,-1.569
62.821421,0.588,-9.71,-1.632
62.831107,0.706,-9.696,-1.71
62.840793,0.745,-9.644,-1.78
62.850479,0.824,-9.592,-1.851
62.860165,0.863,-9.571,-1.967
62.869851,0.902,-9.61,-1.973
62.879537,0.941,-9.617,-1.935
62.889223,0.981,-9.662,-1.903
62.898909,1.02,-9.624,-1.896
62.908595,1.02,-9.63,-1.857
62.918281,1.059,-9.599,-1.812
62.927967,1.02,-9.546,-1.882
62.937653,1.059,-9.508,-1.876
62.947339,1.02,-9.508,-1.876
62.957025,1.02,-9.469,-1.869
62.966703,1.02,-9.476,-1.83
62.976381,0.981,-9.546,-1.882
62.986059,0.941,-9.655,-1.942
62.995737,0.941,-9.733,-1.955
63.005415,0.863,-9.81,-1.969
63.015093,0.863,-9.796,-2.046
63.024771,0.863,-9.79,-2.085
63.034449,0.824,-9.751,-2.078
63.044127,0.863,-9.758,-2.039
63.053805,0.824,-9.68,-2.026
63.063483,0.824,-9.719,-2.032
63.073161,0.824,-9.642,-2.019
63.082839,0.824,-9.596,-2.051
63.092534,0.824,-9.61,-1.973
63.102229,0.902,-9.571,-1.967
63.111924,0.902,-9.487,-1.992
63.121619,0.981,-9.487,-1.992
63.131314,1.02,-9.417,-1.939
63.141009,1.02,-9.385,-1.894
63.150704,1.02,-9.301,-1.919
63.160399,0.981,-9.262,-1.912
63.170094,0.941,-9.385,-1.894
63.179789,0.824,-9.476,-1.83
63.189484,0.706,-9.458,-1.707
63.199179,0.588,-9.458,-1.707
63.208874,0.588,-9.767,-1.762
63.218559,0.706,-10.751,-2.055
63.228244,0.785,-12.037,-2.441
63.237929,0.706,-12.385,-2.502
63.247614,0.863,-12.198,-2.43
63.257299,1.177,-12.121,-2.416
63.266984,1.294,-12.019,-2.318
63.276669,1.255,-11.614,-2.128
63.286354,1.294,-11.08,-1.994
63.296039,1.294,-10.817,-1.907
63.305724,1.255,-10.708,-1.848
63.315409,1.138,-10.546,-1.86
63.325094,0.981,-10.371,-1.948
63.334779,0.785,-10.171,-1.953
63.344464,0.588,-9.933,-1.951
63.354161,0.392,-9.649,-1.98
63.363858,0.196,-9.526,-1.998
63.373555,-0.078,-9.326,-2.003
63.383252,-0.353,-9.165,-2.014
63.392949,-0.628,-9.049,-1.994
63.402646,-0.863,-8.933,-1.973
63.412343,-1.02,-8.81,-1.992
