Time,GyroscopeX,GyroscopeY,GyroscopeZ
76.010237,-2.03,31.201,12.112
76.020928,-2.38,31.424,11.654
76.031619,-2.94,31.602,11.045
76.04231,-2.73,31.529,10.251
76.053001,-2.52,31.533,9.825
76.063692,-1.4,30.56,9.298
76.074383,0.07,28.938,9.225
76.085074,1.75,26.716,10.539
76.095765,3.15,23.472,12.811
76.106456,5.53,16.636,16.51
76.117147,5.46,14.961,17.138
76.127889,5.6,13.266,16.271
76.138631,5.46,12.114,15.144
76.149373,5.46,11.713,13.793
76.160115,6.02,11.104,12.407
76.170857,6.58,10.569,11.815
76.181599,6.51,10.058,11.085
76.192341,6.16,9.36,10.607
76.203083,6.02,8.939,10.177
76.213825,5.32,8.201,10.331
76.224567,3.57,7.682,10.453
76.235309,2.17,7.114,10.85
76.246088,1.05,7.094,10.562
76.256867,-0.49,6.716,10.283
76.267646,-1.68,6.465,10.096
76.278425,-3.64,5.97,10.08
76.289204,-5.67,5.516,10.64
76.299983,-7.56,5.233,11.442
76.310762,-9.38,5.237,12.225
76.321541,-10.64,5.407,12.468
76.33232,-11.69,6.092,11.807
76.343099,-11.62,6.883,10.952
76.353878,-10.92,8.132,10.319
76.364657,-8.96,9.295,8.96
76.375436,-6.93,10.463,7.176
76.386273,-5.46,11.768,5.416
76.39711,-5.53,12.453,3.546
76.407947,-7.63,12.883,1.916
76.418784,-9.66,13.378,0.724
76.429621,-12.25,14.051,0.132
76.440458,-13.51,13.949,-0.099
76.451295,-14.14,13.617,-0.229
76.462132,-14.56,12.737,0.327
76.472969,-13.58,11.61,1.478
76.483806,-12.11,10.697,3.024
76.494643,-11.27,9.477,4.301
76.50548,-9.8,8.958,5.631
76.516325,-8.96,9.311,7.257
76.52717,-7.56,9.721,7.756
76.538015,-5.74,11.237,6.815
76.54886,-3.29,12.737,5.16
76.559705,-1.4,14.392,4.244
76.57055,0.21,15.88,3.866
76.581395,0.63,17.457,2.581
76.59224,-0.91,17.842,0.8
76.603085,-2.8,17.42,0.371
76.61393,-4.9,17.384,-0.631
76.624775,-6.58,16.277,-1.608
76.63562,-7.14,14.051,0.132
76.646465,-6.02,11.93,4.094
76.65731,-4.2,10.021,7.667
76.668191,-2.38,9.494,8.64
76.679072,-0.77,9.441,8.133
76.689953,0.07,10.268,7.07
76.700834,0.14,11.038,4.718
76.711715,-0.49,11.744,1.929
76.722596,-1.68,11.046,-0.967
76.733477,-3.36,10.344,-2.228
76.744358,-5.04,9.513,-3.156
76.755239,-6.58,8.057,-3.768
76.76612,-7.63,6.504,-3.829
76.777001,-8.33,5.121,-3.646
76.787869,-8.96,3.475,-3.581
76.798737,-9.1,2.542,-3.532
76.809605,-8.89,1.593,-4.197
76.820473,-8.47,0.981,-5.158
76.831341,-7.98,0.948,-6.585
76.842209,-6.23,1.309,-7.019
76.853077,-4.34,2.136,-6.874
76.863945,-1.96,2.684,-6.35
76.874813,-0.07,3.036,-5.933
76.885681,1.47,3.551,-5.629
76.896549,2.52,4.046,-5.613
76.907417,3.15,4.764,-6.055
76.918285,3.08,5.133,-7.34
76.929138,3.99,5.497,-8.2
76.939991,3.71,6.138,-7.803
76.950844,3.15,6.69,-7.705
76.961697,2.66,7.18,-7.263
76.97255,1.61,7.355,-7.446
76.983403,0.98,7.886,-7.637
76.994256,0.28,7.967,-7.693
77.005109,-1.4,7.525,-7.203
77.015962,-1.89,7.103,-7.632
77.026815,-2.52,6.682,-8.062
77.037668,-3.01,6.754,-8.476
77.048521,-2.52,6.908,-8.946
77.059358,-2.8,6.916,-9.798
77.070195,-2.52,6.629,-9.778
77.081032,-2.66,6.393,-9.25
77.091869,-2.94,5.777,-8.577
77.102706,-3.99,5.007,-8.642
77.113543,-6.23,4.642,-8.991
77.12438,-9.03,4.171,-7.936
77.135217,-11.27,3.689,-6.813
77.146054,-12.81,3.616,-6.399
77.156891,-12.81,3.482,-6.849
77.167728,-11.62,3.511,-7.413
77.178565,-11.55,2.979,-7.222
77.189402,-11.13,1.885,-7.06
77.200222,-11.2,0.587,-7.36
77.211042,-13.51,-1.647,-5.977
77.221862,-17.78,-5.097,-2.534
77.232682,-23.52,-7.887,0.386
77.243502,-27.51,-9.708,-0.574
77.254322,-29.05,-11.545,0.168
77.265142,-27.65,-12.395,6.202
77.275962,-23.73,-12.934,10.869
77.286782,-18.41,-11.41,7.868
77.297602,-10.92,-8.933,-0.935
77.308422,-2.1,-7.876,-5.725
77.319242,4.76,-7.818,-3.227
77.330043,9.38,-10.089,1.988
77.340844,10.85,-13.08,6.863
77.351645,8.47,-13.737,9.377
77.362446,5.32,-14.09,8.959
77.373247,2.94,-13.036,8.221
77.384048,2.45,-11.365,9.227
77.394849,4.69,-9.284,10.731
77.40565,8.33,-7.617,13.37
77.416451,13.72,-6.976,18.601
77.427252,19.81,-7.186,22.616
77.438053,25.27,-7.798,24.072
77.448854,29.82,-8.796,24.891
77.459611,31.71,-9.757,25.503
77.470368,31.64,-11.261,26.375
77.481125,32.55,-14.25,27.199
77.491882,31.99,-18.442,28.805
77.502639,31.85,-23.064,32.042
77.513396,31.78,-26.486,34.921
77.524153,34.09,-27.674,35.209
77.53491,40.11,-26.191,30.424
77.545667,46.2,-24.915,24.394
77.556424,47.67,-23.938,22.079
77.567181,41.16,-21.424,21.527
77.577938,28.77,-17.807,18.753
77.588695,14.35,-13.448,15.399
77.599398,1.19,-8.546,11.785
77.610101,-10.64,-3.58,4.984
77.620804,-20.23,0.576,-1.249
77.631507,-27.86,2.384,-2.636
77.64221,-31.15,1.695,0.868
77.652913,-29.82,-0.871,8.163
77.663616,-26.67,-3.984,14.935
77.674319,-22.4,-6.631,19.87
77.685022,-18.06,-7.012,20.016
77.695725,-12.95,-3.895,14.027
77.706428,-10.43,0.82,4.623
77.717131,-10.71,6.876,-5.54
77.727834,-14.77,11.592,-11.319
77.738482,-22.19,14.41,-12.386
77.74913,-29.61,15.513,-9.775
77.759778,-36.54,15.327,-5.898
77.770426,-41.09,15.615,-3.502
77.781074,-43.54,16.207,-2.829
77.791722,-42.42,17.752,-3.125
77.80237,-39.9,19.686,-4.419
77.813018,-37.1,21.264,-3.288
77.823666,-35.56,21.99,1.461
77.834314,-38.01,24.654,-1.552
77.844962,-39.34,26.449,-12.538
77.85561,-37.38,27.921,-14.837
77.866247,-34.16,29.32,-11.889
77.876884,-28.49,28.979,-12.376
77.887521,-21.21,27.633,-12.4
77.898158,-14.14,25.046,-9.018
77.908795,-8.89,20.546,-2.845
77.919432,-6.09,15.138,5.655
77.930069,-7.35,10.982,10.679
77.940706,-10.99,8.306,7.72
77.951343,-13.09,6.63,3.515
77.96198,-12.32,6.051,3.981
77.972617,-11.2,5.325,5.275
77.983254,-10.57,4.607,3.3
77.993853,-9.8,4.813,0.92
78.004452,-10.08,5.851,-2.949
78.015051,-10.43,7.055,-7.357
78.02565,-11.62,7.946,-11.606
78.036249,-13.72,8.607,-15.755
78.046848,-16.1,9.506,-19.648
78.057447,-18.9,9.855,-22.43
78.068046,-21.49,9.607,-24.25
78.078645,-24.15,9.599,-24.607
78.089244,-26.25,9.635,-24.814
78.099843,-28.21,9.218,-24.461
78.110442,-30.52,8.447,-23.317
78.121041,-32.41,8.152,-21.237
78.13164,-33.88,7.374,-18.034
78.142239,-34.86,6.77,-15.013
78.152838,-36.26,6.79,-12.308
78.163383,-36.89,6.985,-10.994
78.173928,-35.91,7.184,-11.314
78.184473,-32.48,7.48,-10.978
78.195018,-28.98,7.565,-10.252
78.205563,-24.43,7.711,-8.663
78.216108,-20.65,7.578,-7.904
78.226653,-17.92,7.63,-9.814
78.237198,-14.91,7.228,-12.373
78.247743,-12.95,6.243,-11.622
78.258288,-11.69,4.828,-9.242
78.268816,-11.06,2.801,-6.614
78.279344,-11.76,1.244,-6.249
78.289872,-12.04,0.51,-6.52
78.3004,-11.06,-0.293,-5.596
78.310928,-9.94,-1.124,-4.108
78.321456,-8.82,-2.251,-2.956
78.331984,-9.38,-4.732,0.232
78.342512,-10.43,-5.693,0.844
78.35304,-11.06,-3.642,-6.755
78.363568,-10.36,-1.514,-12.777
78.374096,-8.12,0.379,-12.23
78.384624,-5.18,2.071,-10.937
78.395175,-1.19,3.169,-11.525
78.405726,0.49,2.018,-7.818
78.416277,-0.98,0.041,1.784
78.426828,-4.69,0.402,6.184
78.437379,-6.86,2.348,-0.012
78.44793,-5.67,4.16,-5.45
78.458481,-3.71,4.663,-5.077
78.469032,-2.8,2.701,-0.803
78.479583,-1.61,-0.534,5.45
78.490134,-0.56,-3.668,9.518
78.500685,-0.91,-7.986,13.447
78.511236,-2.24,-11.299,16.915
78.521827,-3.85,-13.249,18.703
78.532418,-5.04,-14.932,20.184
78.543009,-6.09,-15.747,21.177
78.5536,-6.37,-16.148,22.244
78.564191,-6.37,-15.544,22.848
78.574782,-5.25,-14.871,22.256
78.585373,-3.57,-14.088,21.043
78.595964,-2.24,-12.604,19.883
78.606555,-1.05,-12.057,19.198
78.617146,-0.49,-11.465,18.663
78.627737,-0.98,-11.201,18.78
78.638328,-2.31,-10.703,18.371
78.648935,-4.13,-10.184,17.04
78.659542,-6.86,-9.276,15.921
78.670149,-9.38,-8.489,14.283
78.680756,-11.2,-8.068,12.296
78.691363,-13.44,-7.63,9.814
78.70197,-15.4,-7.31,7.596
78.712577,-16.52,-7.594,5.982
78.723184,-16.94,-7.911,5.358
78.733791,-17.71,-8.304,5.573
78.744398,-17.29,-8.308,5.998
78.755005,-18.41,-8.904,5.751
78.765612,-18.34,-10.205,7.085
78.776219,-17.29,-11.961,10.188
78.786849,-15.96,-13.339,13.57
78.797479,-16.1,-14.486,15.642
78.808109,-15.82,-15.845,16.895
78.818739,-14.07,-16.968,18.83
78.829369,-11.06,-17.389,22.025
78.839999,-10.36,-17.936,26.336
78.850629,-11.13,-17.971,31.376
78.861259,-14.98,-15.531,28.821
78.871889,-20.23,-12.824,15.082
78.882519,-22.96,-10.084,6.396
78.893149,-21.35,-8.596,7.227
78.903779,-15.82,-8.263,9.774
78.914409,-8.96,-9.001,11.136
78.925051,-2.8,-9.524,11.684
78.935693,3.78,-9.791,14.409
78.946335,9.59,-9.693,19.899
78.956977,11.34,-9.121,20.284
78.967619,10.5,-7.626,11.805
78.978261,11.34,-5.303,3.472
78.988903,13.58,-2.149,-1.516
78.999545,15.47,0.705,-6.415
79.010187,15.82,2.302,-12.246
79.020829,14.77,3.144,-18.637
79.031471,12.88,3.099,-22.412
79.042113,10.15,2.576,-23.073
79.052811,7.77,2.061,-23.377
79.063509,5.04,1.168,-25.169
79.074207,3.15,0.961,-26.414
79.084905,2.73,2.036,-26.865
79.095603,2.31,3.013,-26.763
79.106301,0.7,4.283,-25.9
79.116999,-2.38,5.633,-25.093
79.127697,-5.67,6.241,-24.915
79.138395,-9.66,6.444,-24.452
79.149093,-13.65,6.736,-23.69
79.159791,-16.59,7.616,-23.037
79.170489,-18.69,8.383,-21.339
79.181224,-19.88,9.247,-20.191
79.191959,-21,10.196,-19.526
79.202694,-21.91,11.396,-19.883
79.213429,-22.47,12.255,-20.727
79.224164,-25.41,13.261,-21.189
79.234899,-29.68,13.601,-21.911
79.245634,-35.63,11.898,-24.344
79.256369,-44.52,8.536,-29.059
79.267104,-54.88,4.342,-33.495
79.277839,-62.44,-0.062,-35.124
79.288574,-64.68,-3.687,-33.915
79.299309,-62.3,-5.373,-32.009
79.310044,-57.12,-5.783,-31.3
79.320807,-50.75,-5.86,-31.669
79.33157,-42.28,-4.737,-31.186
79.342333,-31.78,-4.586,-30.023
79.353096,-23.1,-6.107,-27.447
79.363859,-16.66,-8.105,-22.966
79.374622,-12.74,-8.733,-22.224
79.385385,-10.57,-9.472,-23.278
79.396148,-3.5,-7.662,-18.624
79.406911,6.37,-3.23,-15.141
79.417674,14.91,0.93,-16.966
79.428437,21.56,4.665,-17.587
79.4392,24.71,8.744,-15.731
79.449969,24.43,12.731,-12.54
79.460738,22.68,15.549,-11.19
79.471507,20.16,16.839,-11.247
79.482276,20.23,16.608,-9.937
79.493045,22.33,15.497,-5.655
79.503814,24.57,13.406,0.16
79.514583,25.62,10.613,5.923
79.525352,23.24,7.268,10.38
79.536121,20.23,4.215,14.391
79.54689,16.66,1.341,17.793
79.557659,16.66,-1.185,23.247
79.568428,16.73,-3.078,26.325
79.579197,17.08,-5.276,28.71
79.589949,16.31,-6.39,32.21
79.600701,15.4,-6.536,34.245
79.611453,16.1,-6.767,35.555
79.622205,17.57,-6.499,37.664
79.632957,19.25,-6.507,39.724
79.643709,19.04,-5.509,41.321
79.654461,17.36,-5.026,41.406
79.665213,14.49,-5.31,42.209
79.675965,12.25,-5.549,43.162
79.686717,9.66,-5.934,43.734
79.697469,6.3,-5.906,43.17
79.708221,2.59,-6.697,41.609
79.718973,-0.77,-7.642,39.31
79.729709,-4.55,-9.078,37.778
79.740445,-6.51,-10.992,38.151
79.751181,-5.32,-13.64,38.253
79.761917,-1.05,-17.553,38.273
79.772653,3.99,-22.718,41.77
79.783389,6.16,-27.377,47.63
79.794125,4.55,-30.077,53.266
79.804861,-1.12,-31.933,58.554
79.815597,-11.06,-31.425,63.335
79.826333,-22.89,-29.426,67.313
79.837069,-35.77,-26.238,68.586
79.847805,-44.73,-23.112,67.786
79.858561,-49.28,-19.666,64.769
79.869317,-48.93,-16.52,58.216
79.880073,-47.46,-14.988,50.738
79.890829,-44.1,-14.482,45.852
79.901585,-43.61,-13.008,34.668
79.912341,-45.5,-12.029,16.218
79.923097,-44.17,-11.248,5.338
79.933853,-37.45,-10.482,3.412
79.944609,-29.4,-9.796,2.751
79.955365,-23.03,-8.803,-0.06
79.966121,-17.5,-7.997,-6.244
79.976877,-7.91,-7.162,-9.366
79.987634,4.06,-5.434,-3.446
79.998391,11.97,-3.219,3.342
80.009148,13.44,-1.67,1.411
80.019905,12.46,-0.455,-5.482
80.030662,14.77,2.253,-8.345
80.041419,18.34,4.751,-9.611
80.052176,21.56,6.178,-10.852
80.062933,23.45,5.988,-11.383
80.07369,23.52,5.023,-9.137
80.084447,24.08,4.464,-3.549
80.095204,24.85,3.699,4.419
80.105961,26.39,3.493,15.258
80.116718,28.63,4.777,28.137
80.127472,33.18,8.216,36.847
80.138226,39.62,11.441,39.121
80.14898,44.8,13.423,35.135
80.159734,47.74,13.361,29.437
80.170488,50.68,11.41,22.767
80.181242,52.43,7.735,15.793
80.191996,53.27,3.545,9.723
80.20275,52.92,0.272,5.308
80.213504,51.24,-2.165,0.187
80.224258,47.95,-4.048,-5.263
80.235012,44.52,-5.573,-10.721
